Area (m2),No. of rooms,Price ($)
195,3,399900
149,3,329900
223,3,369000
132,2,232000
279,4,539900
184,4,299900
143,3,314900
133,3,198999
128,3,212000
139,3,242500
180,4,239999
186,3,347000
176,3,329999
416,5,699900
118,3,259900
214,4,449900
123,2,299900
115,3,199900
242,4,499998
282,4,599000
164,3,252900
175,2,255000
149,3,242900
182,4,259900
361,3,573900
102,3,249900
135,3,464500
235,3,469000
204,3,475000
245,3,299900
171,2,349900
93,1,169900
190,4,314900
291,3,579900
168,4,285900
134,3,249900
115,3,229900
198,4,345000
392,4,549000
201,4,287000
155,2,368500
208,3,329900
238,4,314000
111,3,299000
79,2,179900
172,4,299900
112,3,239500